CONTROLN,merged_labels,neigh_labels,hist_labels
1,1,1,0
2,1,1,0
4,3,0,1
8,0,1,1
14,1,1,0
15,0,1,1
21,1,1,0
22,0,1,1
26,0,1,1
27,0,1,1
41,3,0,1
51,3,0,1
54,0,1,1
60,0,1,1
65,2,0,0
70,1,1,0
72,1,1,0
73,3,0,1
80,2,0,0
82,2,0,0
91,3,0,1
94,1,1,0
95,3,0,1
100,0,1,1
101,0,1,1
102,3,0,1
103,3,0,1
104,1,1,0
105,0,1,1
108,1,1,0
111,2,0,0
114,1,1,0
116,2,0,0
122,2,0,0
123,1,1,0
126,2,0,0
131,0,1,1
137,3,0,1
140,2,0,0
142,1,1,0
146,1,1,0
148,2,0,0
150,2,0,0
156,2,0,0
157,2,0,0
158,1,1,0
162,2,0,0
167,1,1,0
170,3,0,1
173,2,0,0
180,1,1,0
190,2,0,0
195,3,0,1
201,2,0,0
205,3,0,1
209,2,0,0
211,1,1,0
213,1,1,0
223,2,0,0
225,2,0,0
226,2,0,0
228,1,1,0
230,0,1,1
238,1,1,0
239,2,0,0
241,3,0,1
244,2,0,0
249,1,1,0
251,0,1,1
254,3,0,1
262,2,0,0
265,2,0,0
272,1,1,0
275,2,0,0
276,2,0,0
278,3,0,1
281,2,0,0
285,0,1,1
287,1,1,0
291,2,0,0
295,0,1,1
296,1,1,0
297,1,1,0
298,1,1,0
301,1,1,0
310,2,0,0
320,2,0,0
325,0,1,1
327,0,1,1
335,1,1,0
341,2,0,0
342,3,0,1
343,0,1,1
346,3,0,1
347,1,1,0
348,2,0,0
352,3,0,1
354,0,1,1
356,1,1,0
358,1,1,0
362,0,1,1
364,1,1,0
365,1,1,0
367,2,0,0
368,1,1,0
372,0,1,1
375,1,1,0
377,1,1,0
379,3,0,1
382,1,1,0
383,0,1,1
387,1,1,0
400,2,0,0
408,2,0,0
418,2,0,0
423,2,0,0
424,0,1,1
426,1,1,0
427,0,1,1
429,1,1,0
431,1,1,0
432,1,1,0
437,2,0,0
438,3,0,1
439,1,1,0
442,1,1,0
445,1,1,0
448,1,1,0
458,2,0,0
463,0,1,1
469,3,0,1
470,3,0,1
472,1,1,0
474,2,0,0
478,2,0,0
485,2,0,0
487,2,0,0
489,3,0,1
490,1,1,0
492,2,0,0
494,0,1,1
498,2,0,0
503,2,0,0
507,2,0,0
511,1,1,0
515,1,1,0
519,1,1,0
520,0,1,1
521,1,1,0
523,3,0,1
530,0,1,1
537,1,1,0
538,2,0,0
543,0,1,1
544,2,0,0
545,1,1,0
550,0,1,1
553,2,0,0
555,2,0,0
560,1,1,0
563,0,1,1
566,1,1,0
571,1,1,0
575,0,1,1
578,1,1,0
581,1,1,0
583,2,0,0
585,0,1,1
589,1,1,0
590,1,1,0
591,2,0,0
592,1,1,0
601,1,1,0
602,1,1,0
605,2,0,0
616,0,1,1
621,0,1,1
626,1,1,0
627,1,1,0
630,2,0,0
632,0,1,1
634,1,1,0
638,3,0,1
640,0,1,1
644,0,1,1
653,0,1,1
665,2,0,0
667,3,0,1
668,1,1,0
670,0,1,1
672,0,1,1
675,0,1,1
683,1,1,0
691,2,0,0
692,2,0,0
698,0,1,1
700,2,0,0
703,1,1,0
708,3,0,1
715,0,1,1
718,1,1,0
719,2,0,0
726,3,0,1
732,3,0,1
733,0,1,1
740,2,0,0
741,0,1,1
745,1,1,0
747,1,1,0
750,0,1,1
751,1,1,0
756,1,1,0
761,3,0,1
763,1,1,0
764,1,1,0
766,1,1,0
768,2,0,0
778,2,0,0
782,3,0,1
783,0,1,1
789,1,1,0
791,0,1,1
793,1,1,0
795,2,0,0
796,3,0,1
797,1,1,0
798,3,0,1
804,1,1,0
805,0,1,1
809,0,1,1
816,2,0,0
817,1,1,0
834,0,1,1
835,0,1,1
836,0,1,1
838,0,1,1
841,2,0,0
844,2,0,0
846,0,1,1
853,1,1,0
854,1,1,0
857,0,1,1
858,0,1,1
865,1,1,0
869,1,1,0
872,3,0,1
875,1,1,0
877,1,1,0
882,2,0,0
888,0,1,1
891,1,1,0
896,2,0,0
897,0,1,1
898,2,0,0
900,3,0,1
902,2,0,0
903,1,1,0
908,3,0,1
914,1,1,0
917,0,1,1
919,1,1,0
929,1,1,0
937,2,0,0
939,1,1,0
943,1,1,0
945,1,1,0
948,1,1,0
959,1,1,0
963,1,1,0
968,0,1,1
971,2,0,0
977,3,0,1
984,3,0,1
985,0,1,1
988,1,1,0
993,0,1,1
994,2,0,0
1001,3,0,1
1006,2,0,0
1007,2,0,0
1012,2,0,0
1013,1,1,0
1014,1,1,0
1015,1,1,0
1016,2,0,0
1019,0,1,1
1027,1,1,0
1029,1,1,0
1030,2,0,0
1033,2,0,0
1034,2,0,0
1035,1,1,0
1038,2,0,0
1042,2,0,0
1044,1,1,0
1045,1,1,0
1047,3,0,1
1054,2,0,0
1057,2,0,0
1065,1,1,0
1067,2,0,0
1068,1,1,0
1071,0,1,1
1074,3,0,1
1075,0,1,1
1078,2,0,0
1080,1,1,0
1091,2,0,0
1095,1,1,0
1097,1,1,0
1098,2,0,0
1100,1,1,0
1102,1,1,0
1106,1,1,0
1107,1,1,0
1109,1,1,0
1111,1,1,0
1121,0,1,1
1126,1,1,0
1129,1,1,0
1133,1,1,0
1145,1,1,0
1146,1,1,0
1147,3,0,1
1154,0,1,1
1156,1,1,0
1157,0,1,1
1163,0,1,1
1164,1,1,0
1166,2,0,0
1170,1,1,0
1172,3,0,1
1177,1,1,0
1178,2,0,0
1180,1,1,0
1182,0,1,1
1187,3,0,1
1192,1,1,0
1193,3,0,1
1194,1,1,0
1196,1,1,0
1198,1,1,0
1199,3,0,1
1202,1,1,0
1209,0,1,1
1212,0,1,1
1214,1,1,0
1216,1,1,0
1218,3,0,1
1222,0,1,1
1223,0,1,1
1224,1,1,0
